PK,NOMBRE,HORARIO,TRANSPORTE,EQUIPAMIENTO,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO
5753713,Sala de estudio Fernando Lázaro Carreter (Carabanchel),"Lunes a sábado, de 9 a 21:30 horas. Domingos, de 9 a 13:30 horasAgosto cerrado.","Bus: 116, 55, 60, E1Metro: Marqués de Vadillo (línea 5), Plaza Elíptica (línea 6 y 11)",Puestos de lectura: 40,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b0bb1c35f67a9210VgnVCM1000000b205a0aRCRD,VERDAD,CALLE,V,29,,,,,MADRID,MADRID,28019,OPAÑEL,CARABANCHEL,439136,4471474,403.916.434.323.808,-37.171.405.109.273,914 690 895,,cclazaro@madrid.es,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.916.434.323.808,-37.171.405.109.273"
4814223,Sala de estudio Oporto (Carabanchel),"De lunes a sábado, de 8:30 a 21:30 horas. Domingos, de 11 a 14:30 horas.Agosto cerrado.","Metro: Oporto (líneas 5 y 6) , Opañel (línea 6)Bus: 55, 81, 108, 118, 247",Puestos de lectura: 48Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0295d1a2d9058110VgnVCM1000000b205a0aRCRD,OPORTO,AVENIDA,V,78,,,,,MADRID,MADRID,28019,OPAÑEL,CARABANCHEL,438232,4470949,403.868.474.412.413,-372.774.032.674.396,914 603 801,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.868.474.412.413,-372.774.032.674.396"
4812338,Sala de estudio Centro Dotacional Integrado de Arganzuela,"De lunes a sábado, de 8:30 a 21 horas. Agosto cerrado.","Metro: Palos de la Frontera (línea 3).Bus: 19, 247, 45, 47, 8, 86, 55, 6, E1, 59, 85.Cercanías RENFE: Delicias (líneas C1, C7, C10).Bicimad: Estación 120 (calle Palos de la Frontera, 40).",Puestos de lectura: 164.,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=217024521f048110VgnVCM1000000b205a0aRCRD,CANARIAS,CALLE,V,17,,,,Ubicada en el Centro Dotacional Integrado Arganzuela,MADRID,MADRID,28045,PALOS DE MOGUER,ARGANZUELA,440979,4472617,404.020.727.986.286,-36.955.325.387.824,915 063 610,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.020.727.986.286,-36.955.325.387.824"
8053162,Sala de estudio Centro sociocultural Teresa de Calcuta (Barajas),"De lunes a sábado, de 9:15 a 21:30 horas.Domingos y festivos, de 10:15 a 13:45 y de 16:15 a 19:45 horas.Julio y agosto:De lunes a viernes, de 9:15 a 21:30 horas.Sábados, domingos y festivos, de 10:15 a 13:45 horas., Semana San Isidro, mayo, junio y septiembre: De lunes a sábados, de 9:15 a 21:30 horas.Domingos y festivos, de 10:15 a 20:30 horas.","Metro: Alameda de Osuna (línea 5)Bus: 101, 112, 114, 115, 151",,Puestos de lectura: 55Zona wifi,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cdee424fc257d410VgnVCM1000000b205a0aRCRD,NAVIO,PLAZA,V,4,,,,,MADRID,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,450174,4478461,404.553.204.141.799,-358.763.808.017.232,913 295 920,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.553.204.141.799,-358.763.808.017.232"
4813737,Sala de estudio Alfredo Kraus (Fuencarral - El Pardo),De lunes a sábado de 9:30 a 14 horas y de 16 a 20:30 horasDomingos y festivos cerradoJulio y agosto de de lunes a viernes de 9 a 19 horasSeptiembre de lunes a sábado de 9:30 a 14 y de 16 a 20 Horas24 y 31 de diciembre cerradoConsultar al teléfono: 91 376 70 85,"Metro: Pitis (línea 7)Bus: 42, 49, 64",Puestos de lectura: 113,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2ec62928b1058110VgnVCM2000000c205a0aRCRD,PRADERA DE VAQUERIZAS,GLORIETA,V,9,,,,,MADRID,MADRID,28035,MIRASIERRA,FUENCARRAL-EL PARDO,438848,4482487,404.908.227.561.017,-372.160.543.300.536,913 767 085 (Centro Cultural),,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.908.227.561.017,-372.160.543.300.536"
5753637,Sala de estudio Montecarmelo (Fuencarral - El Pardo),"De lunes a sábado de 9:30 a 15 horas y de 16 a 20:30 horasDomingos y festivos de 10 a 14:30 horasAgosto cerrado 24, 25 y 31 de diciembre, 1 y 6 de enero cerradoTeléfono: 917 364 151","Bus: 134, 178",Puestos de lectura: 21,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae87964bd47a9210VgnVCM1000000b205a0aRCRD,Santuario de Valverde,Avenida,T,77,,,,,MADRID,MADRID,28049,EL GOLOSO,FUENCARRAL-EL PARDO,442001,4485504,405.163.549.561.534,-368.594.656.268.117,917 364 151,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/405.163.549.561.534,-368.594.656.268.117"
1958,Centro Cultural San Juan Bautista (Ciudad Lineal),"De lunes a viernes, de 10 a 14 y de 15 a 18 horas.Veranos, de lunes a viernes, de 10 a 14 horas.Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",Metro: Avenida de la Paz (línea 4)Bus: 53,"Sala de exposicionesSalón de actos / auditorio (aforo 276)8 aulasZona wifi Sala de lectura y estudio: Durante el mes de julio, de 10 a 14 horas.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD,SAN NEMESIO,CALLE,V,4,,,,,MADRID,MADRID,28043,SAN JUAN BAUTISTA,CIUDAD LINEAL,444202,4478162,404.522.473.796.528,-365.804.022.879.119,914 157 705,,ccsanjuanbautista@madrid.es,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.522.473.796.528,-365.804.022.879.119"
8026323,Sala de estudio Centro Sociocultural Siena (Ciudad Lineal),Lunes a viernes de 9 a 21 horas.Agosto cerrado.,"Metro: Quintana (línea 5)Bus: 21, 38",Puestos de lectura: 24Zona wifi,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e4e458caf0f1d410VgnVCM1000000b205a0aRCRD,SIENA,CALLE,V,52,,,,UBICADO EN EL CENTRO CULTURAL SIENA,MADRID,MADRID,28027,QUINTANA,CIUDAD LINEAL,444709,4476040,404.331.651.657.571,-365.187.672.304.877,914 039 011,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.331.651.657.571,-365.187.672.304.877"
4813751,Sala de estudio Alfonso XII (Fuencarral - El Pardo),"De lunes a viernes de 9 a 21 horasSábados, domingos y festivos de 9:30 a 20 horas24, 31 de diciembre y 5 de enero de 9:30 a 14:30 horas25 de diciembre, el 1 y 6 de enero cerradoTeléfono: 913 762 060",Bus: 601,Puestos de lectura: 18,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e7a8917a2058110VgnVCM2000000c205a0aRCRD,MIRA EL RIO,CALLE,V,4,,,,,MADRID,MADRID,28048,EL PARDO,FUENCARRAL-EL PARDO,434214,4485937,405.196.733.116.587,-377.790.556.877.265,913 762 060,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/405.196.733.116.587,-377.790.556.877.265"
6478893,Sala de estudio Sanchinarro (Hortaleza),"De lunes a viernes: 9 a 21:45 horas.Sábados, domingos y festivos: 10 a 22 horas.  Horario especial ampliado del 3 de mayo al 30 de junio de 2019:  De lunes a viernes no festivos de 9 a 23:45 horas. Fines de semana y festivos de 10 a 23:45 horas","Bus: 172, 173, 174",Puestos de lectura: 176Wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=459b10e528908310VgnVCM1000000b205a0aRCRD,PRINCESA DE EBOLI,CALLE,V,29,,,,ubicada en el Centro Cultural Sanchinarro,MADRID,MADRID,28050,VALDEFUENTES,HORTALEZA,444469,4482391,404.903.531.015.738,-365.526.174.471.726,915 000 603,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.903.531.015.738,-365.526.174.471.726"
8041076,Sala de estudio Almirante Churruca (Latina),"De lunes a viernes, de 9 a 21:30 horas.Sábados, de 9 a 13:30 horas (excepto julio, agosto y septiembre) Verano: De lunes a viernes de 9 a 20:30 horas.Cerrado de 1 a 25 agosto.","Metro: Aviación Española (línea 10).Bus: 17, 34.Cercanías Renfe: Las Águilas (línea C5).",Puestos de lectura: 120.Wifi.,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3ab67c6cd874d410VgnVCM1000000b205a0aRCRD,FUENTE DEL TIRO,CALLE,V,72,1.ª,,,,MADRID,MADRID,28024,LAS AGUILAS,LATINA,433786,4470559,403.829.926.784.081,-378.007.738.021.181,915 090 581 / 917 053 794,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.829.926.784.081,-378.007.738.021.181"
10510680,Sala de estudio Centro Sociocultural El Greco (Latina),"Lunes a viernes, de 9 a 21:30 horas. Sábados de 9:30 a 13:30 horas.Julio y del 27 al 31 agosto, de lunes a viernes, de 9 a 20:30 horas.Cerrado del 1 al 26 de agosto.","Metro: Lucero (línea 6), Batán (línea 10).Bus: 33, 36, 39, 65.",Puestos de lectura: 37.Zona wifi.,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bbad79e15d7ee510VgnVCM2000001f4a900aRCRD,EL GRECO,CALLE,V,29,,,,,MADRID,MADRID,28024,LAS AGUILAS,LATINA,433786,4470559,403.829.926.784.081,-378.007.738.021.181,914 793 261 / 914 793 150,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.829.926.784.081,-378.007.738.021.181"
10107814,Sala de estudio y lectura Arquitecto Juan de Herrera (Latina),De lunes a viernes de 9:30 a 21 horas. Sábados de 10 a 13 horas. Horario de verano: de lunes a viernes de 9:30 a 20 horas. Sábados de julio y septiembre cerrado.Agosto cerrado.,"Bus: 119, 138",Puestos de lectura: 20Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a6c61366ded5510VgnVCM1000001d4a900aRCRD,MARIA DEL CARMEN,CALLE,V,65,,,,,MADRID,MADRID,28011,PUERTA DEL ANGEL,LATINA,437830,4473132,404.064.738.928.498,-37.327.010.920.242,914 649 304,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.064.738.928.498,-37.327.010.920.242"
10107379,Sala de estudio y lectura Cayetano Pando (Latina),"Horario habitual: de lunes a viernes, de 8 a 22 horas. Sábados, de 9 a 14 horas. Cerrado de 15 de julio a 15 de agosto.","Metro: Lucero y Laguna (línea 6)Cercanías Renfe: Laguna (línea C5). Bus: 31, 138.",Puestos de lectura: 40.,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f565aea7089d5510VgnVCM1000001d4a900aRCRD,CAYETANO PANDO,CALLE,V,8,,,,,MADRID,MADRID,28047,LUCERO,LATINA,436652,4472734,404.028.137.162.069,-37.465.317.777.879,915 264 475,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.028.137.162.069,-37.465.317.777.879"
10107362,Sala de estudio y lectura Cebreros (Latina),"Horario habitual: de lunes a viernes, de 8 a 22 horas y sábados, de 9 a 14 horas. Cerrado de 15 de julio a 15 de agosto.","Metro: Lucero (línea 6), Batán (línea 10).Bus: 138, 36, 39, 65.",Puestos de lectura: 63.,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d52aea7089d5510VgnVCM1000001d4a900aRCRD,CEBREROS,CALLE,V,66,,,,,MADRID,MADRID,28011,LUCERO,LATINA,436490,4472992,404.051.206.547.881,-374.846.641.440.376,914 796 964,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.051.206.547.881,-374.846.641.440.376"
8041433,Sala de estudio y lectura Centro Sociocultural Latina (Latina),"De lunes a viernes, 9 a 21 horas. Sábados, de 9 a 14 horas.Cerrado agosto (excepto última semana).",Bus: 155.Cercanías Renfe: Fanjul (C5).,Puestos de lectura: 44.Zona wifi.,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a9e1f61dd74d410VgnVCM1000000b205a0aRCRD,RODRIGO DE ARANA,CALLE,V,50,,,,,MADRID,MADRID,28044,LAS AGUILAS,LATINA,434982,4470177,403.796.456.555.054,-3.765.949.346.901,915 095 470,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.796.456.555.054,-3.765.949.346.901"
10107702,Sala de estudio y lectura Escritor Pedro de Répide (Latina),De lunes a viernes de 9:30 a 21 horas. Sábados de 10 a 13 horas. Verano: de lunes a viernes de 9:30 a 20 horas. Sábados de julio y septiembre cerrado.Agosto cerrado.,"Bus: 119, 138",Puestos de lectura: 16Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5e0861366ded5510VgnVCM1000001d4a900aRCRD,MARIA DEL CARMEN,CALLE,V,65,,,,,MADRID,MADRID,28011,PUERTA DEL ANGEL,LATINA,437830,4473132,404.064.738.928.498,-37.327.010.920.242,914 649 304,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.064.738.928.498,-37.327.010.920.242"
8041409,Sala de estudio y lectura José Luis Sampedro (Latina),"Habitual: de lunes a viernes, de 9 a 21:30 horas, sábados de 9 a 13:30 horas.Verano: de lunes a viernes, de 9 a 20:30 horas, sábados de 9 a 13:30 horas.Cerrado del 1 al 25 agosto.","Metro: Laguna (línea 6), Lucero (línea 6).Bus: 55.Renfe: Laguna (C5)",Puestos de lectura: 54.Zona wifi.,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3e91f61dd74d410VgnVCM1000000b205a0aRCRD,CASTROSERNA,CALLE,V,4,,,,,MADRID,MADRID,28047,LUCERO,LATINA,436428,4472623,40.401.791.822.856,-37.491.601.722.548,915 267 820 / 915 267 821,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/40.401.791.822.856,-37.491.601.722.548"
10107309,Sala de estudio y lectura Maqueda (Latina),"Horario habitual: de lunes a viernes, de 8 a 22 horas y sábados, de 9 a 14 horas.Cerrado de 15 de julio a 15 de agosto.","Metro: Campamento (línea 5), Empalme (línea 10). Bus: 121, 25.",Puestos de lectura: 68.,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afacaea7089d5510VgnVCM1000001d4a900aRCRD,MAQUEDA,CALLE,V,5,,,,,MADRID,MADRID,28024,ALUCHE,LATINA,435108,4471845,403.946.826.466.726,-376.462.574.277.251,917 110 369,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.946.826.466.726,-376.462.574.277.251"
8041448,Sala de estudio y lectura Miguel Hernández (Latina),"De lunes a viernes de 9 a 22 horas, sábados de 9 a 14 horas.Julio, agosto (cerrado del 1 al 26) y septiembre, de lunes a viernes, de 9 a 21 horas.","Bus: 34, 117, 139, 39.Cercanías Renfe: Las Aguilas (C5).",Puestos de lectura: 42.,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b3431f61dd74d410VgnVCM1000000b205a0aRCRD,SERRADILLA,CALLE,V,13,,,,,MADRID,MADRID,28044,LAS AGUILAS,LATINA,433622,4470101,403.788.537.971.283,-378.196.161.130.321,917 066 300,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.788.537.971.283,-378.196.161.130.321"
10107172,Sala de estudio y lectura Paseo de Extremadura (Latina),"Horario habitual: de lunes a viernes, de 8 a 22 horas y sábados, de 9 a 14 horas. Cerrado de 15 de julio a 15 de agosto.","Metro: Alto de Extremadura (línea 6). Bus: 31, 33, 36, 39, 65.",Puestos de lectura: 48.,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae857f23530d5510VgnVCM2000001f4a900aRCRD,EXTREMADURA,PASEO,V,128,,,,,MADRID,MADRID,28011,PUERTA DEL ANGEL,LATINA,437569,4473648,404.111.117.892.647,-373.581.574.161.573,914 634 249,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.111.117.892.647,-373.581.574.161.573"
8041514,Sala de estudio y lectura Sara Montiel (Latina),"Horario habitual: de lunes a viernes de 9 a 21:30 horas. Sábados de 9:30 a 13:30 horas.Verano: de lunes a viernes, de 9:30 a 20:45 horas. Cerrado agosto, excepto ultima semana.","Metro: Colonia Jardín (líneas 10, ML2, ML3).Bus: 65, H.",Puestos de lectura: 54.Zona wifi.,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2cfd68daae74d410VgnVCM1000000b205a0aRCRD,BOADILLA DEL MONTE,CARRETERA,V,40,,,,,MADRID,MADRID,28024,CAMPAMENTO,LATINA,434937,4472307,403.988.300.080.749,-376.669.699.619.217,915 120 890,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.988.300.080.749,-376.669.699.619.217"
